swear_IT,swear_EN,year,n_sentences,n_tokens,tokens_per_sent,char_per_tok,lexical_density,avg_token_per_clause,bpm,centroid,rolloff,flux,rms,zcr,flatness,spectral_complexity,pitch,loudness,duration_ms,explicit,marco-zones
4,0,2022.0,62.0,572.0,9.225806451612904,3.735607675906184,0.4776119402985074,6.729411764705882,135.87,0.1448,1990.2308,1.3759,0.2829,0.0708,0.8372,42.3192,2129.4,32.3919,177106.0,0,Lazio
0,0,2022.0,44.0,324.0,7.363636363636363,3.8095238095238098,0.5367965367965368,10.8,106.98,0.1425,1272.3305,1.2511,0.263,0.059,0.8905,33.4841,2304.5001,29.5024,142373.0,0,Lazio
0,0,2024.0,53.0,468.0,8.830188679245284,3.870192307692307,0.4903846153846153,6.410958904109589,89.45,0.1701,1519.7123,1.2525,0.2929,0.0674,0.7872,27.6518,2275.3223,34.5152,151508.0,0,Lazio
2,1,2022.0,50.0,587.0,11.74,3.447619047619048,0.4357142857142857,9.94915254237288,129.5,0.1733,2156.2141,1.3666,0.2517,0.0843,0.8065,32.587,1791.3212,28.0284,143746.0,1,Lazio
0,0,2017.0,38.0,308.0,8.105263157894736,4.435779816513762,0.4403669724770642,11.846153846153848,123.94,0.1347,1485.743,1.3065,0.2467,0.0557,0.843,22.2575,2394.7505,28.5995,161266.0,1,Lazio
0,0,2024.0,47.0,329.0,7.0,3.85064935064935,0.5194805194805194,4.445945945945946,144.23,0.1552,1745.8698,1.2078,0.267,0.0699,0.8683,27.5243,1835.3135,29.9386,194275.0,0,Lazio
3,3,2022.0,81.0,504.0,6.222222222222222,4.280788177339901,0.4926108374384236,7.753846153846154,144.09,0.179,1830.4563,1.466,0.2493,0.0751,0.807,25.5984,2389.7111,27.7183,156616.0,1,Lazio
8,0,2022.0,51.0,496.0,9.72549019607843,3.9827586206896552,0.5517241379310345,5.511111111111111,89.91,0.1737,2191.9686,1.4261,0.2253,0.0854,0.8816,29.1736,2350.5012,24.1942,147106.0,1,Lazio
0,0,2024.0,41.0,327.0,7.975609756097561,3.874125874125874,0.4755244755244755,7.266666666666667,117.78,0.1658,1740.4379,1.1037,0.2192,0.0776,0.8758,24.6592,1454.8764,23.0454,154163.0,0,Lazio
0,0,1924.0,48.0,380.0,7.916666666666667,3.754385964912281,0.4883040935672514,4.634146341463414,121.92,0.1485,1323.592,1.2203,0.2145,0.0598,0.9096,20.5568,2116.086,22.6036,170343.0,0,Lazio
0,0,2024.0,45.0,339.0,7.533333333333333,3.9,0.4517241379310345,9.685714285714283,92.0,0.1575,1907.5868,1.3326,0.2824,0.0768,0.8502,31.532,2515.4231,32.4661,137608.0,0,Lazio
0,0,2022.0,54.0,562.0,10.407407407407408,3.668103448275862,0.5129310344827587,5.793814432989691,108.0,0.1915,2141.1378,1.4094,0.2437,0.0876,0.8463,27.2074,2096.8632,26.5973,163540.0,0,Lazio
2,0,2019.0,27.0,159.0,5.888888888888889,3.828358208955224,0.5149253731343284,6.913043478260869,129.73,0.1216,1534.6756,1.2878,0.2616,0.0615,0.8668,34.3314,1941.5993,29.501,167760.0,1,Lazio
0,0,2022.0,36.0,316.0,8.777777777777779,3.1153846153846154,0.5629370629370629,5.851851851851852,139.77,0.1444,1351.061,1.151,0.263,0.0616,0.8859,34.0152,1589.9777,29.524,120440.0,1,Lazio
0,0,2019.0,53.0,499.0,9.41509433962264,4.176733780760626,0.4899328859060403,4.37719298245614,92.94,0.0631,964.1463,1.2536,0.1229,0.0342,0.9278,16.0996,1978.8695,10.732,183762.0,1,Lazio
